AMT Sample,Image No.,Spheres Y/N?,,Family,Genus,Species,CN visible,CN x2,CL distal,CL proximal,CW,CD - short,Cd-long,Shape model (Sun and Lui),Volume,Eq. spherical D,Notes,ks suggested,ks min,ks max,,PIC pg CaCO3,PIC pg C,PIC pmol C,Cocco D,Volume,% vol. that is cell for this genus,Estimated cell volume,Estimated cell diameter,Estimated POC pg C MDL,Estimated POC pmol C MDL,PIC:POC MDL,Estimated POC pg C Villiot,Estimated POC pmol C Villiot,PIC:POC Villiot
AMT-14 CTD28 15m,15-11-0583,Intact,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,13,26,3.793,,3.025,9.092,9.092,PS,393.53,9.09,CD measured once only as sphere is cropped,0.06,,,,229.85,27.58,2.30,9.09,393.53,76.00,299.08,8.30,45.63,3.80,0.60,16.22,1.35,1.70
AMT-14 CTD28 15m,15-11-0587,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,35,3.374,,2.273,,,,133.77,6.35,"Cannot accurately count CN, estimated from Nannotax range",0.015,,,,109.96,13.19,1.10,6.35,133.77,80.00,107.01,5.89,17.38,1.45,0.76,7.90,0.66,1.67
AMT-14 CTD28 15m,15-11-0588,"Partial image, other part in 613 (leggy parts)",1,Syracosphaeraceae,Michaelsarsia ,elegans,27,108,2.769,,1.823,16.206,16.206,PS,2228.57,16.21,"CD measured once only as sphere is collapsed and cropped on right hand side, CN estimated as 4x visible intact quarter sphere",0.2,,,,1238.19,148.58,12.38,16.21,2228.57,78.00,1738.28,14.92,238.19,19.85,0.62,55.62,4.63,2.67
AMT-14 CTD28 15m,15-11-0589,Intact,1,Rhabdosphaeraceae,Acanthoica,quattrospina,45,90,2.12,,2.012,7.296,10.998,PS,306.54,8.37,,0.03,,,,69.46,8.34,0.69,8.37,306.54,89.00,272.82,8.05,41.85,3.49,0.20,15.21,1.27,0.55
AMT-14 CTD28 15m,15-11-0592,Partial image,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,17,40,4.546,,4.168,10.477,10.477,PS,602.16,10.48,CD measured once only as sphere is cropped,0.06,,,,608.78,73.05,6.09,10.48,602.16,76.00,457.64,9.56,68.03,5.67,1.07,21.85,1.82,3.34
AMT-14 CTD28 15m,15-11-0592,Partial image,1,Umbellosphaeraceae,Umbellosphaera,tenuis,8,36,5.966,,,8.801,8.801,PS,356.94,6.20, Coccosphere size has been adjusted for coccolith height (2x coccolith thickness of 1.3),0.015,0.012,0.016,,66.87,8.02,0.67,6.20,124.85,95.00,118.61,6.10,19.14,1.60,0.42,8.49,0.71,0.95
AMT-14 CTD28 15m,15-11-0593,Collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,10,20,3.358,,2.955,,,PS,305.55,8.36,"Tube cycle CL = 1.985, Tube cycle CW = 1.759",0.02,0.016,0.021,,40.89,4.91,0.41,8.36,305.55,86.00,262.77,7.95,40.41,3.37,0.12,14.82,1.23,0.33
AMT-14 CTD28 15m,15-11-0593,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,25,8.326,2.284,6.888,,,PS,176.17,6.96,"CW = 2.284,  maximum upper collar CW = 1.759, possible 20% base overlap",0.01,,,,84.15,10.10,0.84,6.96,176.17,95.00,167.36,6.84,26.45,2.20,0.38,10.81,0.90,0.93
AMT-14 CTD28 15m,15-11-0595,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD28 15m,15-11-0597,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,10,2.845,,1.543,,,PS,8.85,2.57,"possible 85% base overlap, spine length = 5.196",0.015,,,,36.18,4.34,0.36,2.57,8.85,80.00,7.08,2.38,1.36,0.11,3.20,1.18,0.10,3.68
AMT-14 CTD28 15m,15-11-0597,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD28 15m,15-11-0600,"Collapsed, other part in 571",1,Umbellosphaeraceae,Umbellosphaera,irregularis,,39,7.361,1.681,5.985,,,PS,288.09,8.19,"CW = 1.138,  maximum upper collar CW = 5.985, possible 10% base overlap",0.01,,,,90.72,10.89,0.91,8.19,288.09,95.00,273.68,8.06,41.98,3.50,0.26,15.25,1.27,0.71
AMT-14 CTD28 15m,15-11-0600,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,15,5.556,,3.763,7.93,7.731,PS,254.55,5.26, Coccosphere size has been adjusted for coccolith height (2x coccolith thickness of 1.3),0.015,0.012,0.016,,22.51,2.70,0.23,5.26,76.34,95.00,72.52,5.17,12.06,1.01,0.22,6.02,0.50,0.45
AMT-14 CTD28 15m,15-11-0601,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD28 15m,15-11-0604,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,35,3.384,,2,,,,110.90,5.96,"Cannot accurately count CN, estimated from Nannotax range",0.015,,,,110.36,13.24,1.10,5.96,110.90,80.00,88.72,5.53,14.58,1.21,0.91,6.93,0.58,1.91
AMT-14 CTD28 15m,15-11-0604,"Partial image, other part in 627",1,Syracosphaeraceae,Syracosphaera,ossa,24,48,2.602,,2.149,9.174,9.174,PS,404.27,9.17,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,34.25,4.11,0.34,9.17,404.27,76.00,307.25,8.37,46.80,3.90,0.09,16.53,1.38,0.25
AMT-14 CTD28 15m,15-11-0607,"Collapsed, other part in 608",1,Umbellosphaeraceae,Umbellosphaera,tenuis,,19,6.28,1.556,4.952,,,PS,76.65,5.27,"CW = 1.399,  maximum upper collar CW = 4.952, possible 5% base overlap",0.015,0.012,0.016,,41.17,4.94,0.41,5.27,76.65,95.00,72.82,5.18,12.11,1.01,0.41,6.04,0.50,0.82
AMT-14 CTD28 15m,15-11-0608,"Collapsed, other part in 609",1,Umbellosphaeraceae,Umbellosphaera,tenuis,4,17,6.265,1.674,4.98,,,PS,129.31,6.27,"CW = 1.456,  maximum upper collar CW = 4.980, possible 5% base overlap",0.015,0.012,0.016,,36.57,4.39,0.37,6.27,129.31,95.00,122.84,6.17,19.79,1.65,0.22,8.70,0.73,0.50
AMT-14 CTD28 15m,15-11-0609,Intact,1,Rhabdosphaeraceae,Discosphaera,tubifera,40,80,2.953,,,17.895,18.182,PS,3048.62,9.19, Coccosphere size has been adjusted for coccolith height (2x trumpet height of 4.4),0.07,0.053,0.087,,389.35,46.72,3.89,9.19,406.41,95.00,386.09,9.03,57.99,4.83,0.81,19.40,1.62,2.41
AMT-14 CTD28 15m,15-11-0611,Flattened,1,Syracosphaeraceae,Syracosphaera,noroitica,21,42,1.21,,1.01,4.875,4.954,PS,61.65,4.90,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,3.01,0.36,0.03,4.90,61.65,76.00,46.85,4.47,8.00,0.67,0.05,4.43,0.37,0.08
AMT-14 CTD28 15m,15-11-0614,Flattened,1,Syracosphaeraceae,Syracosphaera,rotula,25,50,1.969,,1.456,7.508,7.92,PS,233.76,7.64,"Coccosphere size measured from flattened coccosphere (not included in CN are 7 ""bicycle wheel"" coccoliths - incl. for calcite)",0.015,0.015,0.024,,15.46,1.85,0.15,7.64,233.76,76.00,177.66,6.97,27.98,2.33,0.07,11.27,0.94,0.16
AMT-14 CTD28 15m,15-11-0614,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericsonii,10,20,1.891,,1.66,3.639,3.783,PS,26.23,3.69,,0.05,0.037,0.06,,18.26,2.19,0.18,3.69,26.23,30.00,7.87,2.47,1.50,0.12,1.46,1.27,0.11,1.72
AMT-14 CTD28 15m,15-11-0615,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,8,9.369,1.602,,,,PS,25.76,3.66,"CW = 1.164,  maximum upper collar CW = could not be measured, possible 10% base overlap",0.01,,,,38.37,4.60,0.38,3.66,25.76,95.00,24.47,3.60,4.35,0.36,1.06,2.81,0.23,1.64
AMT-14 CTD28 15m,15-11-0618,Intact,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,25,50,3.811,,3.137,11.645,12.004,PS,852.32,11.76,,0.06,,,,448.33,53.80,4.48,11.76,852.32,76.00,647.76,10.74,94.27,7.86,0.57,27.87,2.32,1.93
AMT-14 CTD28 15m,15-11-0619,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,24,48,1.38,,0.92,5.66,7.397,PS,124.08,6.19,"Coccosphere size measured from flattened coccosphere (not included in CN are 7 ""bicycle wheel"" coccoliths - incl. for calcite)",0.015,,,,5.11,0.61,0.05,6.19,124.08,90.00,111.67,5.97,18.09,1.51,0.03,8.14,0.68,0.08
AMT-14 CTD28 15m,15-11-0619,"Collapsed, partial",1,Umbellosphaeraceae,Umbellosphaera,irregularis,16,21,,1.607,,,,PS,71.86,5.16,"CW = 0.876,  maximum upper collar CW = could not be measured, possible 10% base overlap, CN estimated",0.01,,,,,,,5.16,71.86,95.00,68.26,5.07,11.40,0.95,,5.77,0.48,
AMT-14 CTD28 15m,15-11-0620,Intact,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,17,35,4.298,,3.32,9.891,9.891,PS,506.66,9.89,CD measured once only as sphere is cropped,0.06,,,,450.18,54.02,4.50,9.89,506.66,76.00,385.06,9.03,57.85,4.82,0.93,19.36,1.61,2.79
AMT-14 CTD28 15m,15-11-0623,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,11,22,7.895,1.807,6.199,,,PS,183.44,7.05,"CW = 1.389,  maximum upper collar CW = 6.199, possible 10% base overlap",0.01,,,,63.14,7.58,0.63,7.05,183.44,95.00,174.27,6.93,27.48,2.29,0.28,11.12,0.93,0.68
AMT-14 CTD28 15m,15-11-0623,Flattened,1,Syracosphaeraceae,Syracosphaera,rotula,30,60,2.001,,1.405,7.731,9.764,PS,305.56,8.36,"Coccosphere size measured from flattened coccosphere (not included in CN are 16 ""bicycle wheel"" coccoliths - incl. for calcite)",0.015,0.015,0.024,,19.47,2.34,0.19,8.36,305.56,76.00,232.23,7.63,35.98,3.00,0.06,13.59,1.13,0.17
AMT-14 CTD28 15m,15-11-0627,Intact,1,Holococcolith,Helladosphaera,cornifera,28,56,1.337,,,8.294,6.765,PS,243.67,7.75,,0.036,,,,13.01,1.56,0.13,7.75,243.67,36.00,87.72,5.51,14.42,1.20,0.11,6.88,0.57,0.23
AMT-14 CTD28 15m,15-11-0631,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD28 15m,15-11-0632,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,30,60,3.916,,2.865,10.109,10.62,PS,568.25,10.28,,0.02,0.016,0.021,,194.57,23.35,1.95,10.28,568.25,86.00,488.70,9.77,72.35,6.03,0.32,22.88,1.91,1.02
AMT-14 CTD28 15m,15-11-0635,Intact,1,Calcidiscaceae,Umbilicosphaera,hulburtiana,18,36,3.286,,,9.459,9.673,PS,453.16,9.53,,0.06,,,,206.93,24.83,2.07,9.53,453.16,76.00,344.40,8.70,52.09,4.34,0.48,17.91,1.49,1.39
AMT-14 CTD28 15m,15-11-0638,"Partial image, other part in 637",1,Umbellosphaeraceae,Umbellosphaera,tenuis,13,39,4.452,,,8.947,8.947,PS,375.00,6.35, Coccosphere size has been adjusted for coccolith height (2x coccolith thickness of 1.3),0.015,0.012,0.016,,30.11,3.61,0.30,6.35,133.88,95.00,127.18,6.24,20.44,1.70,0.18,8.92,0.74,0.41
AMT-14 CTD28 15m,15-11-0640,Intact,1,Umbellosphaeraceae,Umbellosphaera,tenuis,6,18,6.182,,5.166,8.956,9.747,PS,409.35,6.61, Coccosphere size has been adjusted for coccolith height (2x coccolith thickness of 1.3),0.015,0.012,0.016,,37.20,4.46,0.37,6.61,151.37,95.00,143.80,6.50,22.94,1.91,0.19,9.72,0.81,0.46
AMT-14 CTD36 17m,15-11-0002,"Partial image, other part in 12",1,Calcidiscaceae,Calcidiscus,leptoporus,18,36,7.787,,,17.26,17.26,PS,2692.28,17.26,CD measured in one direction as sphere split over 2 images,0.08,0.068,0.103,,3671.70,440.60,36.72,17.26,2692.28,41.00,1103.84,12.82,155.50,12.96,2.83,40.47,3.37,10.89
AMT-14 CTD36 17m,15-11-0002,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,tenuis,,16,5.925,1.983,5.046,,,,147.08,6.55,"CW = 1.423,  maximum upper collar CW = 5.046, possible 5% base overlap",0.015,,,,29.11,3.49,0.29,6.55,147.08,95.00,139.73,6.44,22.33,1.86,0.16,9.52,0.79,0.37
AMT-14 CTD36 17m,15-11-0007,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,35,3.633,,2,,,PS,123.36,6.18,"Cannot accurately count CN, size estimated using fixed CN",0.015,0.011,0.017,,121.23,14.55,1.21,6.18,123.36,80.00,98.69,5.73,16.11,1.34,0.90,7.47,0.62,1.95
AMT-14 CTD36 17m,15-11-0009,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,clavigera,,25,3.054,,1.912,,,PS,53.65,4.68,"spine length = 5.171, possible 85% base overlap",0.015,0.011,0.017,,94.03,11.28,0.94,4.68,53.65,80.00,42.92,4.34,7.37,0.61,1.53,4.17,0.35,2.71
AMT-14 CTD36 17m,15-11-0019,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,10,7.8,2.022,6.444,,,PS,93.55,5.63,"CW = 1.961,  maximum upper collar CW = 6.444, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,27.68,3.32,0.28,5.63,93.55,95.00,88.87,5.54,14.60,1.22,0.23,6.94,0.58,0.48
AMT-14 CTD36 17m,15-11-0023,Collapsed,1,Rhabdosphaeraceae,Rhabdosphaera,xiphos,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,131.22,15.75,1.31,10.00,523.60,95.00,497.42,9.83,73.57,6.13,0.21,23.16,1.93,0.68
AMT-14 CTD36 17m,15-11-0028,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,9,18,1.596,,1.054,3.927,4.074,PS,32.90,3.98,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,2.96,0.36,0.03,3.98,32.90,76.00,25.00,3.63,4.44,0.37,0.08,2.86,0.24,0.12
AMT-14 CTD36 17m,15-11-0028,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0032,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0032,Intact,1,Syracosphaeraceae,Syracosphaera,castellata,10,22,1.335,,0.966,3.186,3.334,PS,17.72,3.23,,0.015,0.015,0.024,,2.12,0.25,0.02,3.23,17.72,76.00,13.47,2.95,2.48,0.21,0.10,1.85,0.15,0.14
AMT-14 CTD36 17m,15-11-0034,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,28,55,1.689,,1.194,8.08,8.978,PS,306.90,8.37,Coccosphere size measured from flattened coccosphere,0.015,0.015,0.024,,10.73,1.29,0.11,8.37,306.90,76.00,233.25,7.64,36.13,3.01,0.04,13.63,1.14,0.09
AMT-14 CTD36 17m,15-11-0037,Intact,1,Noelaerhabdaceae,Gephyrocapsa,sp.,8,17,2.696,,,3.481,3.853,PS,24.45,3.60,,0.05,,,,44.97,5.40,0.45,3.60,24.45,30.00,7.33,2.41,1.40,0.12,3.85,1.21,0.10,4.46
AMT-14 CTD36 17m,15-11-0039,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,22,8.941,1.679,8.012,,,PS,109.37,5.93,"CW = 1.059,  maximum upper collar CW = 8.012, possible 10% base overlap",0.01,,,,91.71,11.00,0.92,5.93,109.37,95.00,103.91,5.83,16.91,1.41,0.65,7.74,0.65,1.42
AMT-14 CTD36 17m,15-11-0040,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,17,9.673,1.767,7.161,,,PS,129.98,6.28,"CW = 1.461,  maximum upper collar CW = 7.161, possible 10% base overlap",0.01,,,,89.73,10.77,0.90,6.28,129.98,95.00,123.48,6.18,19.88,1.66,0.54,8.73,0.73,1.23
AMT-14 CTD36 17m,15-11-0056,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,22,44,0.997,,0.629,4.148,4.444,PS,40.04,4.24,"Coccosphere size measured from flattened coccosphere, CN estimated",0.015,,,,1.77,0.21,0.02,4.24,40.04,90.00,36.03,4.10,6.25,0.52,0.03,3.69,0.31,0.06
AMT-14 CTD36 17m,15-11-0057,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,22,9.443,2.272,7.825,,,PS,254.75,7.87,"CW = 1.547,  maximum upper collar CW = 7.825, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,108.04,12.96,1.08,7.87,254.75,95.00,242.01,7.73,37.40,3.12,0.35,13.99,1.17,0.93
AMT-14 CTD36 17m,15-11-0057,"Collapsed, other part in 58",1,Umbellosphaeraceae,Umbellosphaera,irregularis,10,11,7.173,2.297,,,,PS,89.08,5.54,"CW = 1.519, possible 20% base overlap (as only a larger proximal coccolith could be measured)",0.01,,,,23.68,2.84,0.24,5.54,89.08,95.00,84.63,5.45,13.94,1.16,0.20,6.70,0.56,0.42
AMT-14 CTD36 17m,15-11-0062,Collapsed,1,Syracosphaeraceae,Syracosphaera,hastata,20,40,1.734,,1.159,6.519,6.52,PS,145.08,6.52,"Coccosphere size measured from flattened coccosphere, CN estimated",0.015,0.015,0.024,,8.45,1.01,0.08,6.52,145.08,76.00,110.26,5.95,17.88,1.49,0.06,8.07,0.67,0.13
AMT-14 CTD36 17m,15-11-0064,Intact,1,Unknown,Unknown,Unknown,11,23,2.96,,1.602,5.717,8.198,PS,140.30,6.45,"CN estimated, coccosphere distorted and poorly preserved.",,,,,,,,6.45,140.30,,,,,,,,,
AMT-14 CTD36 17m,15-11-0065,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0072,Collapsed,1,Holococcolith,Syracosphaera,mediterranea HOL wettsteinii type,19,40,2.121,,1.498,8.447,8.818,PS,329.44,8.57,Coccosphere size measured from flattened coccosphere,0.036,,,,37.10,4.45,0.37,8.57,329.44,80.00,263.55,7.95,40.52,3.38,0.11,14.85,1.24,0.30
AMT-14 CTD36 17m,15-11-0072,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,15,6.348,1.804,4.978,,,PS,73.59,5.20,"CW = 1.11,  maximum upper collar CW = 4.978, possible 10% base overlap",0.01,,,,22.38,2.69,0.22,5.20,73.59,95.00,69.91,5.11,11.65,0.97,0.23,5.87,0.49,0.46
AMT-14 CTD36 17m,15-11-0077,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0078,Collapsed,1,Syracosphaeraceae,Syracosphaera,anthos,,37,1.886,,1.47,,,,585.29,10.38," possible 5% gaps, approx. 31 XCs too account for in calcite CL = 1.778 circular",0.015,0.015,0.024,,10.05,1.21,0.10,10.38,585.29,76.00,444.82,9.47,66.24,5.52,0.02,21.42,1.79,0.06
AMT-14 CTD36 17m,15-11-0078,Intact,1,Syracosphaeraceae,Syracosphaera,sp.,7,14,1.296,,0.901,2.963,3.263,PS,15.00,3.06,,0.015,0.015,0.024,,1.23,0.15,0.01,3.06,15.00,76.00,11.40,2.79,2.12,0.18,0.07,1.65,0.14,0.09
AMT-14 CTD36 17m,15-11-0080,Collapsed,1,Syracosphaeraceae,Syracosphaera,prolongata,37,64,2.149,,1.409,10.747,14.01,Strawberry,847.25,11.74,"CN estimated, top part covered in approx. 30 XCs account for in calcite.",0.015,0.015,0.024,,25.72,3.09,0.26,11.74,847.25,76.00,643.91,10.71,93.74,7.81,0.03,27.75,2.31,0.11
AMT-14 CTD36 17m,15-11-0081,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,21,8.747,1.761,6.718,,,PS,131.67,6.31,"CW = 1.197,  maximum upper collar CW = 6.718, possible 10% base overlap",0.01,,,,81.96,9.84,0.82,6.31,131.67,95.00,125.08,6.20,20.12,1.68,0.49,8.81,0.73,1.12
AMT-14 CTD36 17m,15-11-0088,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,24,8.297,1.852,6.815,,,PS,189.16,7.12,"CW = 1.1268,  maximum upper collar CW = 6.815, possible 10% base overlap",0.01,,,,79.95,9.59,0.80,7.12,189.16,95.00,179.70,7.00,28.28,2.36,0.34,11.36,0.95,0.84
AMT-14 CTD36 17m,15-11-0088,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,22,45,0.904,,,4.741,4.889,PS,57.54,4.79,Coccosphere size measured from flattened coccosphere,0.015,,,,1.35,0.16,0.01,4.79,57.54,90.00,51.78,4.62,8.79,0.73,0.02,4.75,0.40,0.03
AMT-14 CTD36 17m,15-11-0093,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,11,7.921,2.326,5.576,,,PS,75.77,5.25,"CW = 1.461,  maximum upper collar CW = 5.576, possible 10% base overlap",0.01,,,,31.88,3.83,0.32,5.25,75.77,95.00,71.98,5.16,11.98,1.00,0.32,5.99,0.50,0.64
AMT-14 CTD36 17m,15-11-0093,Collapsed,1,Syracosphaeraceae,Syracosphaera,sp.,,25,1.729,,1.206,,,PS,182.48,7.04,possible 5% base overlap,0.015,0.015,0.024,,5.23,0.63,0.05,7.04,182.48,76.00,138.68,6.42,22.17,1.85,0.03,9.47,0.79,0.07
AMT-14 CTD36 17m,15-11-0093,Collapsed,1,Holococcolith,Syracosphaera,HOL,,23,1.222,,0.828,,,PS,54.43,4.70,possible 5% base overlap,0.036,,,,4.08,0.49,0.04,4.70,54.43,80.00,43.54,4.36,7.47,0.62,0.07,4.21,0.35,0.12
AMT-14 CTD36 17m,15-11-0095,Partially collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,7,18,3.186,,,6.076,6.076,PS,117.45,6.08,CD measured in one direction as sphere damaged,0.02,0.016,0.021,,31.43,3.77,0.31,6.08,117.45,86.00,101.01,5.78,16.46,1.37,0.23,7.59,0.63,0.50
AMT-14 CTD36 17m,15-11-0095,Partially collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,10,20,3.541,,,5.856,7.63,PS,137.00,6.40,,0.02,0.016,0.021,,47.95,5.75,0.48,6.40,137.00,86.00,117.82,6.08,19.03,1.59,0.30,8.45,0.70,0.68
AMT-14 CTD36 17m,15-11-0095,Partially collapsed,1,Noelaerhabdaceae,Emiliania,huxleyi,12,24,3.797,,,5.784,5.784,PS,101.32,5.78,CD measured in one direction as sphere damaged,0.02,0.016,0.021,,70.95,8.51,0.71,5.78,101.32,86.00,87.13,5.50,14.33,1.19,0.59,6.84,0.57,1.24
AMT-14 CTD36 17m,15-11-0097,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0099,Flattened,1,Syracosphaeraceae,Ophiaster,sp.,,60,1.101,,0.73,3.781,4.075,PS,30.50,3.88,Coccosphere size measured from flattened coccosphere,0.015,,,,3.24,0.39,0.03,3.88,30.50,90.00,27.45,3.74,4.84,0.40,0.08,3.05,0.25,0.13
AMT-14 CTD36 17m,15-11-0104,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0111,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0111,Collapsed,1,Rhabdosphaeraceae,Palusphaera,sp.,,,,,,,,,,,"Cannot accurately count CN or measure distal shield CL, fixed geometry applied (see manuscript)",0.005,,,,675.00,81.00,6.75,10.00,523.60,95.00,497.42,9.83,73.57,6.13,1.10,23.16,1.93,3.50
AMT-14 CTD36 17m,15-11-0114,Collapsed,1,Syracosphaeraceae,Ophiaster,sp.,,36,1.188,,0.925,,,PS,120.64,6.13,possible 5% base overlap,0.015,,,,2.44,0.29,0.02,6.13,120.64,90.00,108.57,5.92,17.62,1.47,0.02,7.98,0.67,0.04
AMT-14 CTD36 17m,15-11-0115,Collapsed,1,Umbellosphaeraceae,Umbellosphaera,irregularis,,18,7.511,1.531,6.279,,,PS,77.28,5.28,"CW = 1.126,  maximum upper collar CW = 6.279, possible 10% base overlap",0.01,,,,44.48,5.34,0.44,5.28,77.28,95.00,73.41,5.20,12.20,1.02,0.44,6.07,0.51,0.88
AMT-14 CTD36 17m,15-11-0116,Collapsed,1,Holococcolith,Syracosphaera,HOL,24,48,0.763,,0.48,,,PS,35.74,4.09,possible 5% base overlap,0.036,,,,2.07,0.25,0.02,4.09,35.74,80.00,28.59,3.79,5.03,0.42,0.05,3.14,0.26,0.08
AMT-14 CTD36 17m,15-11-0117,Intact,1,Calcidiscaceae,Calcidiscus,leptoporus,14,29,6.49,,,14.621,14.73,PS,1648.75,14.66,,0.08,0.068,0.103,,1712.32,205.48,17.12,14.66,1648.75,41.00,675.99,10.89,98.12,8.18,2.09,28.71,2.39,7.16
AMT-14 CTD36 17m,15-11-0119,Intact,1,Holococcolith,Corisphaera,sp.,41,82,1.377,,0.833,6.207,6.276,PS,126.60,6.23,,0.036,,,,20.81,2.50,0.21,6.23,126.60,59.00,74.70,5.23,12.40,1.03,0.20,6.14,0.51,0.41
